transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0
167,90,3177,2017-04-26,,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0
170,6,404,2017-10-16,,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838.0
251,63,1967,2017-04-11,,Approved,Solex,Standard,medium,medium,1483.2,99.59,42145.0
301,78,2530,2017-03-24,,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455.0
337,82,1615,2017-10-30,,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,41533.0
343,61,1478,2017-03-11,,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0
399,83,1306,2017-12-18,,Approved,Solex,Touring,medium,large,2083.94,675.03,38206.0
477,73,367,2017-02-12,,Approved,Solex,Standard,medium,medium,1945.43,333.18,38859.0
530,62,1202,2017-03-31,,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0
559,20,3104,2017-03-21,,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,33455.0
577,1,149,2017-05-04,,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0
761,4,2428,2017-12-20,,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,33549.0
770,4,2414,2017-09-10,,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0
844,40,3412,2017-07-09,,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498.0
915,39,2756,2017-03-16,,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0
918,35,2281,2017-04-30,,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0
1061,63,1342,2017-07-14,,Approved,Solex,Standard,medium,medium,1483.2,99.59,34996.0
1072,36,1505,2017-11-09,,Approved,Solex,Standard,low,medium,945.04,507.58,40784.0
1160,73,1722,2017-12-15,,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0
1193,71,79,2017-11-17,,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0
1201,84,3241,2017-05-25,,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38206.0
