customer_id,min_recency,recency_score,product_count,product_score,sum_profit,profit_score,RFM_score,customer_title,customer_age,customer_age_group,tenure
1,7.0,4,11,4,3018.0899999999992,3,443.0,Platinum,64.0,60-69,11.0
2,128.0,1,3,1,2226.26,2,112.0,Bronze,37.0,30-39,16.0
4,195.0,1,2,1,220.57,1,111.0,Bronze,56.0,50-59,7.0
5,16.0,4,6,2,2394.94,2,422.0,Platinum,40.0,40-49,8.0
6,64.0,2,5,2,3946.55,3,223.0,Silver,51.0,50-59,13.0
7,253.0,1,3,1,220.10999999999999,1,111.0,Bronze,41.0,40-49,11.0
8,22.0,3,10,4,7066.939999999999,4,344.0,Gold,55.0,50-59,7.0
9,78.0,2,6,2,2353.1099999999997,2,222.0,Silver,44.0,40-49,8.0
11,46.0,2,6,2,3638.8400000000006,3,223.0,Silver,63.0,60-69,9.0
12,67.0,2,7,3,3540.0299999999997,3,233.0,Silver,23.0,20-29,8.0
13,27.0,3,7,3,4337.38,4,334.0,Gold,62.0,60-69,8.0
14,47.0,2,4,1,1713.9,1,211.0,Bronze,34.0,30-39,6.0
15,35.0,3,6,2,1728.39,1,321.0,Gold,17.0,10-19,1.0
16,99.0,1,5,2,4521.839999999999,4,124.0,Bronze,40.0,40-49,18.0
17,0.0,4,5,2,2015.6100000000001,2,422.0,Platinum,55.0,50-59,15.0
18,134.0,1,7,3,3543.38,3,133.0,Bronze,50.0,50-59,11.0
19,102.0,1,3,1,2951.79,3,113.0,Bronze,16.0,10-19,1.0
20,31.0,3,4,1,3608.2799999999997,3,313.0,Gold,37.0,30-39,11.0
21,6.0,4,5,2,4229.41,4,424.0,Platinum,37.0,30-39,16.0
24,17.0,4,8,4,3689.35,3,443.0,Platinum,40.0,40-49,15.0
25,5.0,4,12,4,5333.660000000001,4,444.0,Platinum,41.0,40-49,21.0
26,113.0,1,3,1,268.2399999999999,1,111.0,Bronze,39.0,30-39,16.0
27,143.0,1,7,3,3274.250000000001,3,133.0,Bronze,39.0,30-39,12.0
28,83.0,2,6,2,3366.5600000000004,3,223.0,Silver,44.0,40-49,21.0
29,22.0,3,9,4,6175.299999999999,4,344.0,Gold,49.0,40-49,19.0
30,11.0,4,3,1,2633.95,2,412.0,Platinum,56.0,50-59,6.0
31,89.0,1,4,1,426.10999999999996,1,111.0,Bronze,55.0,50-59,14.0
32,138.0,1,7,3,2823.12,2,132.0,Bronze,22.0,20-29,4.0
33,38.0,3,7,3,5294.27,4,334.0,Gold,60.0,60-69,11.0
35,92.0,1,4,1,3706.5099999999998,3,113.0,Bronze,54.0,50-59,16.0
36,163.0,1,2,1,204.35999999999999,1,111.0,Bronze,40.0,40-49,22.0
37,7.0,4,9,4,6338.490000000001,4,444.0,Platinum,32.0,30-39,16.0
38,50.0,2,4,1,2025.34,2,212.0,Silver,62.0,60-69,20.0
39,34.0,3,12,4,6085.17,4,344.0,Gold,38.0,30-39,22.0
40,14.0,4,6,2,4552.1,4,424.0,Platinum,36.0,30-39,14.0
41,29.0,3,9,4,4698.89,4,344.0,Gold,41.0,40-49,16.0
42,111.0,1,4,1,427.04,1,111.0,Bronze,40.0,40-49,18.0
43,61.0,2,9,4,3619.9500000000003,3,243.0,Silver,34.0,30-39,5.0
44,35.0,3,7,3,4768.28,4,334.0,Gold,36.0,30-39,17.0
45,43.0,3,3,1,1048.1499999999999,1,311.0,Silver,42.0,40-49,8.0
46,53.0,2,5,2,1623.6299999999997,1,221.0,Silver,45.0,40-49,15.0
47,35.0,3,7,3,4332.1900000000005,4,334.0,Gold,25.0,20-29,2.0
48,82.0,2,8,4,5561.08,4,244.0,Silver,42.0,40-49,8.0
49,36.0,3,5,2,4248.68,4,324.0,Gold,23.0,20-29,1.0
50,26.0,3,8,4,5783.66,4,344.0,Gold,37.0,30-39,16.0
51,55.0,2,8,4,4855.4,4,244.0,Silver,58.0,50-59,18.0
52,4.0,4,7,3,5417.83,4,434.0,Platinum,29.0,20-29,13.0
53,7.0,4,5,2,2950.07,3,423.0,Platinum,63.0,60-69,16.0
54,67.0,2,7,3,4098.21,3,233.0,Silver,51.0,50-59,18.0
55,46.0,2,8,4,3220.86,3,243.0,Silver,61.0,60-69,7.0
56,2.0,4,7,3,1275.2399999999998,1,431.0,Platinum,21.0,20-29,4.0
57,35.0,3,6,2,5117.96,4,324.0,Gold,29.0,20-29,13.0
58,20.0,3,8,4,3501.37,3,343.0,Gold,50.0,50-59,17.0
59,22.0,3,3,1,2628.37,2,312.0,Gold,17.0,10-19,3.0
60,200.0,1,2,1,647.22,1,111.0,Bronze,47.0,40-49,10.0
61,47.0,2,7,3,4254.240000000001,4,234.0,Silver,58.0,50-59,13.0
62,5.0,4,6,2,4920.879999999999,4,424.0,Platinum,38.0,30-39,22.0
63,68.0,2,3,1,2190.05,2,212.0,Silver,52.0,50-59,16.0
64,3.0,4,5,2,546.6799999999997,1,421.0,Platinum,39.0,30-39,4.0
65,136.0,1,6,2,4441.61,4,124.0,Bronze,41.0,40-49,15.0
66,43.0,3,5,2,4549.200000000001,4,324.0,Gold,15.0,10-19,1.0
67,116.0,1,5,2,1203.2899999999997,1,121.0,Bronze,57.0,50-59,18.0
68,84.0,2,3,1,3842.5599999999995,3,213.0,Silver,43.0,40-49,9.0
69,20.0,3,6,2,5294.75,4,324.0,Gold,48.0,40-49,6.0
70,4.0,4,5,2,2736.9,2,422.0,Platinum,24.0,20-29,8.0
71,131.0,1,1,1,155.6500000000001,1,111.0,Bronze,32.0,30-39,12.0
72,22.0,3,5,2,2559.7799999999997,2,322.0,Gold,45.0,40-49,16.0
73,168.0,1,6,2,2316.51,2,122.0,Bronze,57.0,50-59,5.0
74,28.0,3,3,1,966.5200000000001,1,311.0,Silver,48.0,40-49,6.0
75,60.0,2,8,4,4979.94,4,244.0,Silver,39.0,30-39,19.0
76,1.0,4,8,4,2868.16,3,443.0,Platinum,39.0,30-39,18.0
77,101.0,1,3,1,1657.5800000000002,1,111.0,Bronze,28.0,20-29,7.0
78,211.0,1,2,1,82.25999999999999,1,111.0,Bronze,32.0,30-39,8.0
79,43.0,3,6,2,2597.46,2,322.0,Gold,49.0,40-49,18.0
80,28.0,3,10,4,5988.86,4,344.0,Gold,39.0,30-39,13.0
81,4.0,4,4,1,3249.02,3,413.0,Platinum,31.0,30-39,13.0
82,78.0,2,5,2,2924.37,3,223.0,Silver,52.0,50-59,19.0
83,80.0,2,6,2,1798.1999999999998,1,221.0,Silver,50.0,50-59,18.0
84,28.0,3,7,3,2295.2200000000003,2,332.0,Gold,59.0,50-59,14.0
85,37.0,3,6,2,563.3699999999999,1,321.0,Gold,59.0,50-59,8.0
86,0.0,4,9,4,2360.09,2,442.0,Platinum,28.0,20-29,7.0
87,18.0,3,9,4,3740.7599999999998,3,343.0,Gold,43.0,40-49,8.0
88,74.0,2,6,2,2534.3300000000004,2,222.0,Silver,51.0,50-59,7.0
89,4.0,4,9,4,5779.65,4,444.0,Platinum,50.0,50-59,14.0
90,30.0,3,7,3,2990.73,3,333.0,Gold,33.0,30-39,11.0
91,9.0,4,8,4,5242.410000000001,4,444.0,Platinum,62.0,60-69,17.0
92,34.0,3,3,1,2967.4399999999996,3,313.0,Gold,37.0,30-39,12.0
93,79.0,2,3,1,2976.4099999999994,3,213.0,Silver,41.0,40-49,10.0
94,33.0,3,7,3,4902.21,4,334.0,Gold,43.0,40-49,21.0
95,38.0,3,4,1,3050.8099999999995,3,313.0,Gold,57.0,50-59,8.0
96,70.0,2,4,1,1135.25,1,211.0,Bronze,49.0,40-49,15.0
97,102.0,1,8,4,4911.209999999999,4,144.0,Bronze,38.0,30-39,10.0
98,122.0,1,5,2,1930.5600000000002,2,122.0,Bronze,61.0,60-69,7.0
99,2.0,4,9,4,4557.65,4,444.0,Platinum,19.0,10-19,3.0
100,11.0,4,2,1,877.4,1,411.0,Gold,49.0,40-49,4.0
101,8.0,4,4,1,2589.89,2,412.0,Platinum,42.0,40-49,11.0
102,42.0,3,7,3,2587.01,2,332.0,Gold,61.0,60-69,16.0
103,49.0,2,5,2,913.3199999999999,1,221.0,Silver,20.0,20-29,4.0
104,64.0,2,9,4,3550.2600000000007,3,243.0,Silver,39.0,30-39,9.0
105,89.0,1,4,1,3475.04,3,113.0,Bronze,16.0,10-19,1.0
106,1.0,4,3,1,2513.69,2,412.0,Platinum,51.0,50-59,18.0
107,81.0,2,4,1,2343.9700000000003,2,212.0,Silver,27.0,20-29,9.0
108,10.0,4,3,1,2557.42,2,412.0,Platinum,23.0,20-29,3.0
109,8.0,4,10,4,4430.66,4,444.0,Platinum,39.0,30-39,4.0
110,14.0,4,7,3,2621.55,2,432.0,Platinum,17.0,10-19,1.0
111,147.0,1,4,1,3014.53,3,113.0,Bronze,24.0,20-29,2.0
112,47.0,2,6,2,5742.1900000000005,4,224.0,Silver,42.0,40-49,12.0
113,175.0,1,6,2,2329.4900000000002,2,122.0,Bronze,61.0,60-69,20.0
114,70.0,2,4,1,2195.2599999999998,2,212.0,Silver,32.0,30-39,8.0
115,14.0,4,8,4,3135.87,3,443.0,Platinum,36.0,30-39,18.0
116,12.0,4,8,4,2447.54,2,442.0,Platinum,18.0,10-19,2.0
117,5.0,4,10,4,6917.34,4,444.0,Platinum,35.0,30-39,15.0
118,69.0,2,5,2,3550.1,3,223.0,Silver,58.0,50-59,19.0
119,30.0,3,4,1,4217.24,4,314.0,Gold,36.0,30-39,9.0
120,129.0,1,3,1,1306.7800000000002,1,111.0,Bronze,39.0,30-39,4.0
121,111.0,1,4,1,2892.09,3,113.0,Bronze,60.0,60-69,15.0
122,8.0,4,5,2,2695.2200000000003,2,422.0,Platinum,38.0,30-39,12.0
123,191.0,1,4,1,3245.75,3,113.0,Bronze,29.0,20-29,15.0
124,2.0,4,7,3,4054.2499999999995,3,433.0,Platinum,22.0,20-29,5.0
125,83.0,2,10,4,3345.01,3,243.0,Silver,57.0,50-59,16.0
126,11.0,4,3,1,1096.46,1,411.0,Gold,25.0,20-29,3.0
127,23.0,3,10,4,3993.710000000001,3,343.0,Gold,43.0,40-49,19.0
128,137.0,1,4,1,2193.0600000000004,2,112.0,Bronze,40.0,40-49,12.0
129,178.0,1,4,1,2753.7499999999995,2,112.0,Bronze,32.0,30-39,19.0
130,76.0,2,2,1,1779.58,1,211.0,Bronze,20.0,20-29,1.0
131,205.0,1,6,2,5494.910000000001,4,124.0,Bronze,53.0,50-59,8.0
132,7.0,4,6,2,2780.7200000000003,2,422.0,Platinum,54.0,50-59,9.0
133,26.0,3,5,2,803.89,1,321.0,Gold,40.0,40-49,16.0
134,14.0,4,6,2,2946.42,3,423.0,Platinum,20.0,20-29,5.0
135,115.0,1,7,3,4549.5,4,134.0,Bronze,42.0,40-49,3.0
136,20.0,3,8,4,3543.2,3,343.0,Gold,44.0,40-49,7.0
137,27.0,3,5,2,1496.4499999999998,1,321.0,Gold,30.0,30-39,10.0
138,64.0,2,7,3,3377.12,3,233.0,Silver,32.0,30-39,13.0
139,26.0,3,9,4,5161.44,4,344.0,Gold,53.0,50-59,4.0
140,3.0,4,6,2,2699.8999999999996,2,422.0,Platinum,23.0,20-29,2.0
141,159.0,1,3,1,2138.3500000000004,2,112.0,Bronze,63.0,60-69,10.0
142,4.0,4,11,4,3917.3399999999992,3,443.0,Platinum,50.0,50-59,17.0
143,13.0,4,4,1,2474.77,2,412.0,Platinum,60.0,60-69,11.0
144,6.0,4,8,4,4888.02,4,444.0,Platinum,,,
145,28.0,3,7,3,3140.3,3,333.0,Gold,20.0,20-29,4.0
146,194.0,1,2,1,217.05999999999995,1,111.0,Bronze,32.0,30-39,8.0
147,34.0,3,6,2,5034.16,4,324.0,Gold,44.0,40-49,10.0
148,43.0,3,5,2,3268.4,3,323.0,Gold,36.0,30-39,5.0
149,18.0,3,6,2,2204.4799999999996,2,322.0,Gold,22.0,20-29,1.0
150,75.0,2,4,1,2446.51,2,212.0,Silver,34.0,30-39,17.0
151,0.0,4,8,4,5665.410000000001,4,444.0,Platinum,52.0,50-59,13.0
152,158.0,1,2,1,1966.88,2,112.0,Bronze,36.0,30-39,16.0
153,64.0,2,7,3,5522.51,4,234.0,Silver,40.0,40-49,12.0
154,23.0,3,6,2,683.6300000000001,1,321.0,Gold,59.0,50-59,11.0
155,8.0,4,3,1,1088.42,1,411.0,Gold,32.0,30-39,10.0
156,16.0,4,5,2,3095.3699999999994,3,423.0,Platinum,38.0,30-39,11.0
157,135.0,1,4,1,492.2299999999999,1,111.0,Bronze,43.0,40-49,16.0
158,65.0,2,6,2,4627.35,4,224.0,Silver,33.0,30-39,5.0
159,66.0,2,6,2,2935.3700000000003,3,223.0,Silver,30.0,30-39,13.0
160,93.0,1,2,1,2614.1600000000003,2,112.0,Bronze,53.0,50-59,18.0
161,159.0,1,1,1,459.46000000000015,1,111.0,Bronze,41.0,40-49,16.0
162,98.0,1,3,1,1329.61,1,111.0,Bronze,38.0,30-39,15.0
163,114.0,1,2,1,1101.28,1,111.0,Bronze,41.0,40-49,14.0
164,198.0,1,3,1,786.1400000000001,1,111.0,Bronze,18.0,10-19,1.0
165,8.0,4,9,4,6182.52,4,444.0,Platinum,33.0,30-39,12.0
166,63.0,2,8,4,4197.44,4,244.0,Silver,62.0,60-69,6.0
167,14.0,4,9,4,5993.34,4,444.0,Platinum,48.0,40-49,17.0
168,136.0,1,9,4,5800.6,4,144.0,Bronze,,,
169,61.0,2,3,1,696.26,1,211.0,Bronze,60.0,60-69,5.0
170,100.0,1,4,1,1820.81,1,111.0,Bronze,42.0,40-49,21.0
171,18.0,3,9,4,4833.139999999999,4,344.0,Gold,47.0,40-49,10.0
172,11.0,4,8,4,2348.66,2,442.0,Platinum,29.0,20-29,6.0
173,15.0,4,9,4,6549.509999999999,4,444.0,Platinum,20.0,20-29,1.0
174,11.0,4,10,4,7628.24,4,444.0,Platinum,28.0,20-29,12.0
175,64.0,2,5,2,2170.54,2,222.0,Silver,42.0,40-49,5.0
176,22.0,3,5,2,3090.0700000000006,3,323.0,Gold,25.0,20-29,10.0
177,37.0,3,12,4,4108.6,3,343.0,Gold,28.0,20-29,4.0
178,32.0,3,4,1,2184.58,2,312.0,Gold,50.0,50-59,8.0
179,40.0,3,3,1,1814.59,1,311.0,Silver,51.0,50-59,6.0
180,11.0,4,7,3,4065.3500000000004,3,433.0,Platinum,46.0,40-49,14.0
181,50.0,2,6,2,2365.2400000000002,2,222.0,Silver,35.0,30-39,9.0
182,13.0,4,7,3,5409.120000000001,4,434.0,Platinum,25.0,20-29,7.0
183,102.0,1,6,2,3187.8399999999997,3,123.0,Bronze,20.0,20-29,3.0
184,32.0,3,3,1,2181.3500000000004,2,312.0,Gold,46.0,40-49,7.0
185,8.0,4,7,3,3547.6800000000003,3,433.0,Platinum,38.0,30-39,13.0
186,23.0,3,6,2,2166.17,2,322.0,Gold,43.0,40-49,3.0
187,14.0,4,7,3,3014.88,3,433.0,Platinum,63.0,60-69,11.0
188,15.0,4,6,2,2658.87,2,422.0,Platinum,42.0,40-49,13.0
189,3.0,4,5,2,5329.98,4,424.0,Platinum,36.0,30-39,10.0
190,29.0,3,4,1,704.2800000000002,1,311.0,Silver,38.0,30-39,10.0
191,105.0,1,1,1,834.9399999999999,1,111.0,Bronze,57.0,50-59,6.0
192,79.0,2,4,1,1519.4700000000003,1,211.0,Bronze,39.0,30-39,8.0
193,24.0,3,5,2,2551.5,2,322.0,Gold,53.0,50-59,12.0
194,108.0,1,3,1,2608.28,2,112.0,Bronze,43.0,40-49,10.0
195,0.0,4,7,3,9633.409999999998,4,434.0,Platinum,59.0,50-59,6.0
196,146.0,1,8,4,3737.9999999999995,3,143.0,Bronze,51.0,50-59,6.0
197,27.0,3,9,4,3651.7100000000005,3,343.0,Gold,40.0,40-49,5.0
198,58.0,2,9,4,6631.870000000001,4,244.0,Silver,36.0,30-39,16.0
199,15.0,4,4,1,2650.53,2,412.0,Platinum,39.0,30-39,21.0
200,7.0,4,9,4,7283.86,4,444.0,Platinum,60.0,60-69,19.0
201,28.0,3,8,4,4369.02,4,344.0,Gold,51.0,50-59,11.0
202,18.0,3,3,1,1295.9100000000003,1,311.0,Silver,54.0,50-59,16.0
203,11.0,4,5,2,1481.12,1,421.0,Platinum,53.0,50-59,11.0
204,27.0,3,8,4,6287.290000000001,4,344.0,Gold,41.0,40-49,5.0
205,52.0,2,9,4,2008.2699999999995,2,242.0,Silver,59.0,50-59,6.0
206,77.0,2,4,1,3816.6499999999996,3,213.0,Silver,63.0,60-69,14.0
207,279.0,1,3,1,1630.03,1,111.0,Bronze,23.0,20-29,7.0
208,27.0,3,5,2,3342.02,3,323.0,Gold,23.0,20-29,5.0
209,107.0,1,5,2,3081.0700000000006,3,123.0,Bronze,60.0,60-69,6.0
210,22.0,3,6,2,2957.0299999999997,3,323.0,Gold,54.0,50-59,18.0
211,39.0,3,9,4,4090.05,3,343.0,Gold,43.0,40-49,5.0
